sample_id,code_snippet,label,LoC,NoM,NoP,CC,MND,NoF,CR,NoW,MNW,SCCL,sStC,PBM,FAC,MC,API,DbC,SyncIO,ImgC,AsyncUI,TmrStr
11,"class -HistoryScreenState extends State<HistoryScreen> {
Future<List<Task>> -taskList;
final DateFormat -dateFormatter = DateFormat('MMM dd, yyyy');

@override
void initState() {
super.initState();
-updateTaskList();
}

-updateTaskList() {
setState(() {
-taskList = DatabaseHelper.instance.getTaskList();
});
}

Widget -buildTask(Task task) {
return Padding(
padding: EdgeInsets.symmetric(horizontal: 25.0),
child: Column(
children: <Widget>[
if (task.status == 1)
ListTile(
title: Text(
task.title,
style: TextStyle(
fontSize: 18.0,
decoration: task.status == 1
? TextDecoration.none
: TextDecoration.lineThrough,
),
),
subtitle: Text(
'${-dateFormatter.format(task.date)} • ${task.priority}',
style: TextStyle(
fontSize: 15.0,
decoration: task.status == 1
? TextDecoration.none
: TextDecoration.lineThrough,
),
),
trailing: IconButton(
icon: Icon(
Icons.restore-from-trash,
color: Theme.of(context).primaryColor,
),
onPressed: () {
task.status = 0;
DatabaseHelper.instance.updateTask(task);
Toast.show(""Task reassigned"", context,
duration: Toast.LENGTH-LONG, gravity: Toast.BOTTOM);
-updateTaskList();
},
),
onTap: () => Navigator.push(
context,
MaterialPageRoute(
builder: (-) => AddTaskScreen(
updateTaskList: -updateTaskList,
task: task,
),
),
),
),
// Divider(),
],
),
);
}

@override
Widget build(BuildContext context) {
return Scaffold(
appBar: AppBar(
backgroundColor: Color.fromRGBO(250, 250, 250, 1),
leading: IconButton(
icon: Icon(
Icons.arrow-back-ios,
color: Colors.black,
),
onPressed: () => Navigator.push(
context, MaterialPageRoute(builder: (-) => HomeScreen()))),
title: Row(children: [
Text(
'History',
style: const TextStyle(
color: Colors.redAccent,
fontSize: 20.0,
fontWeight: FontWeight.normal,
),
),
]),
// actions: [
// IconButton(
// icon: Icon(
// Icons.info-outline,
// color: Colors.black,
// ),
// onPressed: () {}),
// ],
centerTitle: false,
elevation: 0,
),
body: FutureBuilder(
future: -taskList,
builder: (context, snapshot) {
if (!snapshot.hasData) {
return Center(
child: CircularProgressIndicator(),
);
}

final int completedTaskCount = snapshot.data
.where((Task task) => task.status == 1)
.toList()
.length;

return ListView.builder(
padding: EdgeInsets.symmetric(vertical: 0.0),
itemCount: 1 + snapshot.data.length,
itemBuilder: (BuildContext context, int index) {
if (index == 0) {
return Padding(
padding: EdgeInsets.symmetric(horizontal: 0.0, vertical: 0.0),
child: Column(
crossAxisAlignment: CrossAxisAlignment.start,
children: <Widget>[
Container(
margin: const EdgeInsets.fromLTRB(20.0, 0.0, 20.0, 0.0),
padding: const EdgeInsets.all(10.0),
decoration: new BoxDecoration(
shape: BoxShape.rectangle,
color: Color.fromRGBO(240, 240, 240, 1.0),
borderRadius: BorderRadius.all(Radius.circular(10.0)),
),
child: Center(
child: Text(
'You have completed [ $completedTaskCount ] tasks',
style: TextStyle(
color: Colors.blueGrey,
fontSize: 15.0,
fontWeight: FontWeight.normal,
),
),
),
)
],
),
);
}
return -buildTask(snapshot.data[index - 1]);
},
);
},
),
);
}
}",1,143,4,1,6,4,0,6.3E-2,34,8,3,1,0,0,0,0,0,0,0,0,0
12,"void initState() {
super.initState();
-updateTaskList();
}",0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"-updateTaskList() {
setState(() {
-taskList = DatabaseHelper.instance.getTaskList();
});
}",1,5,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,"Widget -buildTask(Task task) {
return Padding(
padding: EdgeInsets.symmetric(horizontal: 25.0),
child: Column(
children: <Widget>[
if (task.status == 1)
ListTile(
title: Text(
task.title,
style: TextStyle(
fontSize: 18.0,
decoration: task.status == 1
? TextDecoration.none
: TextDecoration.lineThrough,
),
),
subtitle: Text(
'${-dateFormatter.format(task.date)} • ${task.priority}',
style: TextStyle(
fontSize: 15.0,
decoration: task.status == 1
? TextDecoration.none
: TextDecoration.lineThrough,
),
),
trailing: IconButton(
icon: Icon(
Icons.restore-from-trash,
color: Theme.of(context).primaryColor,
),
onPressed: () {
task.status = 0;
DatabaseHelper.instance.updateTask(task);
Toast.show(""Task reassigned"", context,
duration: Toast.LENGTH-LONG, gravity: Toast.BOTTOM);
-updateTaskList();
},
),
onTap: () => Navigator.push(
context,
MaterialPageRoute(
builder: (-) => AddTaskScreen(
updateTaskList: -updateTaskList,
task: task,
),
),
),
),
// Divider(),
],
),
);
}",1,52,1,1,4,1,0,1.9E-2,11,5,1,0,0,0,0,0,0,0,0,0,0
15,"Widget build(BuildContext context) {
return Scaffold(
appBar: AppBar(
backgroundColor: Color.fromRGBO(250, 250, 250, 1),
leading: IconButton(
icon: Icon(
Icons.arrow-back-ios,
color: Colors.black,
),
onPressed: () => Navigator.push(
context, MaterialPageRoute(builder: (-) => HomeScreen()))),
title: Row(children: [
Text(
'History',
style: const TextStyle(
color: Colors.redAccent,
fontSize: 20.0,
fontWeight: FontWeight.normal,
),
),
]),
// actions: [
// IconButton(
// icon: Icon(
// Icons.info-outline,
// color: Colors.black,
// ),
// onPressed: () {}),
// ],
centerTitle: false,
elevation: 0,
),
body: FutureBuilder(
future: -taskList,
builder: (context, snapshot) {
if (!snapshot.hasData) {
return Center(
child: CircularProgressIndicator(),
);
}

final int completedTaskCount = snapshot.data
.where((Task task) => task.status == 1)
.toList()
.length;

return ListView.builder(
padding: EdgeInsets.symmetric(vertical: 0.0),
itemCount: 1 + snapshot.data.length,
itemBuilder: (BuildContext context, int index) {
if (index == 0) {
return Padding(
padding: EdgeInsets.symmetric(horizontal: 0.0, vertical: 0.0),
child: Column(
crossAxisAlignment: CrossAxisAlignment.start,
children: <Widget>[
Container(
margin: const EdgeInsets.fromLTRB(20.0, 0.0, 20.0, 0.0),
padding: const EdgeInsets.all(10.0),
decoration: new BoxDecoration(
shape: BoxShape.rectangle,
color: Color.fromRGBO(240, 240, 240, 1.0),
borderRadius: BorderRadius.all(Radius.circular(10.0)),
),
child: Center(
child: Text(
'You have completed [ $completedTaskCount ] tasks',
style: TextStyle(
color: Colors.blueGrey,
fontSize: 15.0,
fontWeight: FontWeight.normal,
),
),
),
)
],
),
);
}
return -buildTask(snapshot.data[index - 1]);
},
);
},
),
);
}",0,76,1,1,3,3,0,0.105,22,8,3,0,0,0,0,0,0,0,0,0,0
16,"
class HomeScreen extends StatefulWidget {
@override
-HomeScreenState createState() => -HomeScreenState();
}",0,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17,"class -HomeScreenState extends State<HomeScreen> {
Future<List<Task>> -taskList;
final DateFormat -dateFormatter = DateFormat('MMM dd, yyyy');

@override
void initState() {
super.initState();
-updateTaskList();
}

-updateTaskList() {
setState(() {
-taskList = DatabaseHelper.instance.getTaskList();
});
}

Future<bool> onBackPressed() {
return SystemNavigator.pop();
}

Widget -buildTask(Task task) {
return Padding(
padding: EdgeInsets.symmetric(horizontal: 25.0),
child: Column(
children: <Widget>[
if (task.status == 0)
ListTile(
title: Text(
task.title,
style: TextStyle(
fontSize: 18.0,
decoration: task.status == 0
? TextDecoration.none
: TextDecoration.lineThrough,
),
),
subtitle: Text(
'${-dateFormatter.format(task.date)} • ${task.priority}',
style: TextStyle(
fontSize: 15.0,
decoration: task.status == 0
? TextDecoration.none
: TextDecoration.lineThrough,
),
),
trailing: Checkbox(
onChanged: (value) {
task.status = value ? 1 : 0;
DatabaseHelper.instance.updateTask(task);
Toast.show(""Task Completed"", context,
duration: Toast.LENGTH-LONG, gravity: Toast.BOTTOM);
-updateTaskList();
},
activeColor: Theme.of(context).primaryColor,
value: task.status == 1 ? true : false,
),
onTap: () => Navigator.push(
context,
MaterialPageRoute(
builder: (-) => AddTaskScreen(
updateTaskList: -updateTaskList,
task: task,
),
),
),
),
//Divider(),
],
),
);
}

@override
Widget build(BuildContext context) {
return WillPopScope(
onWillPop: onBackPressed,
child: Scaffold(
floatingActionButton: FloatingActionButton(
backgroundColor: Colors.white,
foregroundColor: Colors.black,
child: Icon(Icons.add-outlined),
onPressed: () => Navigator.push(
context,
MaterialPageRoute(
builder: (-) => AddTaskScreen(
updateTaskList: -updateTaskList,
),
),
),
),
appBar: AppBar(
backgroundColor: Color.fromRGBO(250, 250, 250, 1),
leading: IconButton(
icon: Icon(
Icons.calendar-today-outlined,
color: Colors.grey,
),
onPressed: null),
title:
Row(
children: [
Text(
""Task"",
style: const TextStyle(
color: Colors.grey,
fontSize: 20.0,
fontWeight: FontWeight.normal,
letterSpacing: -1.2,
),
),
Text(
""Manager"",
style: const TextStyle(
color: Colors.redAccent,
fontSize: 20.0,
fontWeight: FontWeight.normal,
letterSpacing: 0,
),
)
],
),
centerTitle: false,
elevation: 0,
actions: [
Container(
margin: const EdgeInsets.all(0),
child: IconButton(
icon: Icon(Icons.history-outlined),
iconSize: 25.0,
color: Colors.black,
onPressed: () => Navigator.push(context,
MaterialPageRoute(builder: (-) => HistoryScreen()))),
),
Container(
margin: const EdgeInsets.all(6.0),
child: IconButton(
icon: Icon(Icons.settings-outlined),
iconSize: 25.0,
color: Colors.black,
onPressed: () => Navigator.push(
context, MaterialPageRoute(builder: (-) => Settings()))),
)
],
),
body: FutureBuilder(
future: -taskList,
builder: (context, snapshot) {
if (!snapshot.hasData) {
return Center(
child: CircularProgressIndicator(),
);
}

final int completedTaskCount = snapshot.data
.where((Task task) => task.status == 0)
.toList()
.length;

return ListView.builder(
padding: EdgeInsets.symmetric(vertical: 0.0),
itemCount: 1 + snapshot.data.length,
itemBuilder: (BuildContext context, int index) {
if (index == 0) {
return Padding(
padding:
EdgeInsets.symmetric(horizontal: 0.0, vertical: 0.0),
child: Column(
crossAxisAlignment: CrossAxisAlignment.start,
children: <Widget>[
Container(
margin:
const EdgeInsets.fromLTRB(20.0, 0.0, 20.0, 0.0),
padding: const EdgeInsets.all(10.0),
decoration: new BoxDecoration(
shape: BoxShape.rectangle,
color: Color.fromRGBO(240, 240, 240, 1.0),
borderRadius:
BorderRadius.all(Radius.circular(10.0)),
),
child: Center(
child: Text(
'You have [ $completedTaskCount ] pending task out of [ ${snapshot.data.length} ]',
style: TextStyle(
color: Colors.blueGrey,
fontSize: 15.0,
fontWeight: FontWeight.normal,
),
),
),
)
],
),
);
}
return -buildTask(snapshot.data[index - 1]);
},
);
},
),
),
);
}
}",1,195,5,1,8,4,0,5.0000000000000001E-3,48,9,4,1,0,0,0,0,0,0,0,0,0
18,"void initState() {
super.initState();
-updateTaskList();
}",0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"-updateTaskList() {
setState(() {
-taskList = DatabaseHelper.instance.getTaskList();
});
}
",1,5,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,"Future<bool> onBackPressed() {
return SystemNavigator.pop();
}",0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Widget -buildTask(Task task) {
return Padding(
padding: EdgeInsets.symmetric(horizontal: 25.0),
child: Column(
children: <Widget>[
if (task.status == 0)
ListTile(
title: Text(
task.title,
style: TextStyle(
fontSize: 18.0,
decoration: task.status == 0
? TextDecoration.none
: TextDecoration.lineThrough,
),
),
subtitle: Text(
'${-dateFormatter.format(task.date)} • ${task.priority}',
style: TextStyle(
fontSize: 15.0,
decoration: task.status == 0
? TextDecoration.none
: TextDecoration.lineThrough,
),
),
trailing: Checkbox(
onChanged: (value) {
task.status = value ? 1 : 0;
DatabaseHelper.instance.updateTask(task);
Toast.show(""Task Completed"", context,
duration: Toast.LENGTH-LONG, gravity: Toast.BOTTOM);
-updateTaskList();
},
activeColor: Theme.of(context).primaryColor,
value: task.status == 1 ? true : false,
),
onTap: () => Navigator.push(
context,
MaterialPageRoute(
builder: (-) => AddTaskScreen(
updateTaskList: -updateTaskList,
task: task,
),
),
),
),
//Divider(),
],
),
);
}",0,50,1,1,6,1,0,0.02,10,5,1,0,0,0,0,0,0,0,0,0,0
22,"Widget build(BuildContext context) {
return WillPopScope(
onWillPop: onBackPressed,
child: Scaffold(
floatingActionButton: FloatingActionButton(
backgroundColor: Colors.white,
foregroundColor: Colors.black,
child: Icon(Icons.add-outlined),
onPressed: () => Navigator.push(
context,
MaterialPageRoute(
builder: (-) => AddTaskScreen(
updateTaskList: -updateTaskList,
),
),
),
),
appBar: AppBar(
backgroundColor: Color.fromRGBO(250, 250, 250, 1),
leading: IconButton(
icon: Icon(
Icons.calendar-today-outlined,
color: Colors.grey,
),
onPressed: null),
title:
Row(
children: [
Text(
""Task"",
style: const TextStyle(
color: Colors.grey,
fontSize: 20.0,
fontWeight: FontWeight.normal,
letterSpacing: -1.2,
),
),
Text(
""Manager"",
style: const TextStyle(
color: Colors.redAccent,
fontSize: 20.0,
fontWeight: FontWeight.normal,
letterSpacing: 0,
),
)
],
),
centerTitle: false,
elevation: 0,
actions: [
Container(
margin: const EdgeInsets.all(0),
child: IconButton(
icon: Icon(Icons.history-outlined),
iconSize: 25.0,
color: Colors.black,
onPressed: () => Navigator.push(context,
MaterialPageRoute(builder: (-) => HistoryScreen()))),
),
Container(
margin: const EdgeInsets.all(6.0),
child: IconButton(
icon: Icon(Icons.settings-outlined),
iconSize: 25.0,
color: Colors.black,
onPressed: () => Navigator.push(
context, MaterialPageRoute(builder: (-) => Settings()))),
)
],
),
body: FutureBuilder(
future: -taskList,
builder: (context, snapshot) {
if (!snapshot.hasData) {
return Center(
child: CircularProgressIndicator(),
);
}

final int completedTaskCount = snapshot.data
.where((Task task) => task.status == 0)
.toList()
.length;

return ListView.builder(
padding: EdgeInsets.symmetric(vertical: 0.0),
itemCount: 1 + snapshot.data.length,
itemBuilder: (BuildContext context, int index) {
if (index == 0) {
return Padding(
padding:
EdgeInsets.symmetric(horizontal: 0.0, vertical: 0.0),
child: Column(
crossAxisAlignment: CrossAxisAlignment.start,
children: <Widget>[
Container(
margin:
const EdgeInsets.fromLTRB(20.0, 0.0, 20.0, 0.0),
padding: const EdgeInsets.all(10.0),
decoration: new BoxDecoration(
shape: BoxShape.rectangle,
color: Color.fromRGBO(240, 240, 240, 1.0),
borderRadius:
BorderRadius.all(Radius.circular(10.0)),
),
child: Center(
child: Text(
'You have [ $completedTaskCount ] pending task out of [ ${snapshot.data.length} ]',
style: TextStyle(
color: Colors.blueGrey,
fontSize: 15.0,
fontWeight: FontWeight.normal,
),
),
),
)
],
),
);
}
return -buildTask(snapshot.data[index - 1]);
},
);
},
),
),
);
}",0,127,1,1,3,3,0,0,37,9,4,0,0,0,0,0,0,0,0,0,0
23,"class Settings extends StatefulWidget {
@override
-SettingsState createState() => -SettingsState();
}",0,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
